original_split,data
val,/imgs/sh/t1/L81_892791_780519.jpg /imgs/sh/t2/L81_892791_780519.jpg /labels/sh/t1VSt2/L81_892791_780519.png /building_labels/sh/t1/L81_892791_780519.png /building_labels/sh/t2/L81_892791_780519.png /offset_st_resize256/sh/t1/L81_892791_780519.tif /offset_st_resize256/sh/t2/L81_892791_780519.tif /flow_btv3_resize256/sh/t1VSt2/L81_892791_780519.tif
train,/imgs/sh/t1/L81_892879_780519.jpg /imgs/sh/t3/L81_892879_780519.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892879_780519.png /building_labels/sh/t1/L81_892879_780519.png /building_labels/sh/t3/L81_892879_780519.png /offset_st_resize256/sh/t1/L81_892879_780519.tif /offset_st_resize256/sh/t3/L81_892879_780519.tif /flow_btv3_resize256/sh/t1VSt3/L81_892879_780519.tif
train,/imgs/bj/t1/L81_00879_784143.jpg /imgs/bj/t3/L81_00879_784143.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00879_784143.png /building_labels/bj/t1/L81_00879_784143.png /building_labels/bj/t3/L81_00879_784143.png /offset_st_resize256/bj/t1/L81_00879_784143.tif /offset_st_resize256/bj/t3/L81_00879_784143.tif /flow_btv3_resize256/bj/t1VSt3/L81_00879_784143.tif
train,/imgs/bj/t2/L81_00831_784215.jpg /imgs/bj/t3/L81_00831_784215.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784215.png /building_labels/bj/t2/L81_00831_784215.png /building_labels/bj/t3/L81_00831_784215.png /offset_st_resize256/bj/t2/L81_00831_784215.tif /offset_st_resize256/bj/t3/L81_00831_784215.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784215.tif
train,/imgs/bj/t2/L81_00687_784183.jpg /imgs/bj/t3/L81_00687_784183.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00687_784183.png /building_labels/bj/t2/L81_00687_784183.png /building_labels/bj/t3/L81_00687_784183.png /offset_st_resize256/bj/t2/L81_00687_784183.tif /offset_st_resize256/bj/t3/L81_00687_784183.tif /flow_btv3_resize256/bj/t2VSt3/L81_00687_784183.tif
train,/imgs/bj/t2/L81_00823_784143.jpg /imgs/bj/t3/L81_00823_784143.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00823_784143.png /building_labels/bj/t2/L81_00823_784143.png /building_labels/bj/t3/L81_00823_784143.png /offset_st_resize256/bj/t2/L81_00823_784143.tif /offset_st_resize256/bj/t3/L81_00823_784143.tif /flow_btv3_resize256/bj/t2VSt3/L81_00823_784143.tif
train,/imgs/sh/t2/L81_892823_780439.jpg /imgs/sh/t3/L81_892823_780439.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892823_780439.png /building_labels/sh/t2/L81_892823_780439.png /building_labels/sh/t3/L81_892823_780439.png /offset_st_resize256/sh/t2/L81_892823_780439.tif /offset_st_resize256/sh/t3/L81_892823_780439.tif /flow_btv3_resize256/sh/t2VSt3/L81_892823_780439.tif
train,/imgs/sh/t2/L81_892815_780519.jpg /imgs/sh/t3/L81_892815_780519.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892815_780519.png /building_labels/sh/t2/L81_892815_780519.png /building_labels/sh/t3/L81_892815_780519.png /offset_st_resize256/sh/t2/L81_892815_780519.tif /offset_st_resize256/sh/t3/L81_892815_780519.tif /flow_btv3_resize256/sh/t2VSt3/L81_892815_780519.tif
train,/imgs/bj/t1/L81_00711_784071.jpg /imgs/bj/t3/L81_00711_784071.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00711_784071.png /building_labels/bj/t1/L81_00711_784071.png /building_labels/bj/t3/L81_00711_784071.png /offset_st_resize256/bj/t1/L81_00711_784071.tif /offset_st_resize256/bj/t3/L81_00711_784071.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784071.tif
train,/imgs/sh/t1/L81_892879_780431.jpg /imgs/sh/t3/L81_892879_780431.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892879_780431.png /building_labels/sh/t1/L81_892879_780431.png /building_labels/sh/t3/L81_892879_780431.png /offset_st_resize256/sh/t1/L81_892879_780431.tif /offset_st_resize256/sh/t3/L81_892879_780431.tif /flow_btv3_resize256/sh/t1VSt3/L81_892879_780431.tif
train,/imgs/bj/t1/L81_00887_784111.jpg /imgs/bj/t3/L81_00887_784111.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00887_784111.png /building_labels/bj/t1/L81_00887_784111.png /building_labels/bj/t3/L81_00887_784111.png /offset_st_resize256/bj/t1/L81_00887_784111.tif /offset_st_resize256/bj/t3/L81_00887_784111.tif /flow_btv3_resize256/bj/t1VSt3/L81_00887_784111.tif
val,/imgs/sh/t1/L81_892887_780471.jpg /imgs/sh/t3/L81_892887_780471.jpg /labels/sh/t1VSt3/L81_892887_780471.png /building_labels/sh/t1/L81_892887_780471.png /building_labels/sh/t3/L81_892887_780471.png /offset_st_resize256/sh/t1/L81_892887_780471.tif /offset_st_resize256/sh/t3/L81_892887_780471.tif /flow_btv3_resize256/sh/t1VSt3/L81_892887_780471.tif
train,/imgs/sh/t2/L81_892847_780511.jpg /imgs/sh/t3/L81_892847_780511.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892847_780511.png /building_labels/sh/t2/L81_892847_780511.png /building_labels/sh/t3/L81_892847_780511.png /offset_st_resize256/sh/t2/L81_892847_780511.tif /offset_st_resize256/sh/t3/L81_892847_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892847_780511.tif
train,/imgs/bj/t1/L81_00823_784151.jpg /imgs/bj/t2/L81_00823_784151.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00823_784151.png /building_labels/bj/t1/L81_00823_784151.png /building_labels/bj/t2/L81_00823_784151.png /offset_st_resize256/bj/t1/L81_00823_784151.tif /offset_st_resize256/bj/t2/L81_00823_784151.tif /flow_btv3_resize256/bj/t1VSt2/L81_00823_784151.tif
train,/imgs/bj/t1/L81_00687_784063.jpg /imgs/bj/t2/L81_00687_784063.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00687_784063.png /building_labels/bj/t1/L81_00687_784063.png /building_labels/bj/t2/L81_00687_784063.png /offset_st_resize256/bj/t1/L81_00687_784063.tif /offset_st_resize256/bj/t2/L81_00687_784063.tif /flow_btv3_resize256/bj/t1VSt2/L81_00687_784063.tif
train,/imgs/bj/t2/L81_00871_784063.jpg /imgs/bj/t3/L81_00871_784063.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00871_784063.png /building_labels/bj/t2/L81_00871_784063.png /building_labels/bj/t3/L81_00871_784063.png /offset_st_resize256/bj/t2/L81_00871_784063.tif /offset_st_resize256/bj/t3/L81_00871_784063.tif /flow_btv3_resize256/bj/t2VSt3/L81_00871_784063.tif
train,/imgs/bj/t1/L81_00879_783983.jpg /imgs/bj/t3/L81_00879_783983.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00879_783983.png /building_labels/bj/t1/L81_00879_783983.png /building_labels/bj/t3/L81_00879_783983.png /offset_st_resize256/bj/t1/L81_00879_783983.tif /offset_st_resize256/bj/t3/L81_00879_783983.tif /flow_btv3_resize256/bj/t1VSt3/L81_00879_783983.tif
val,/imgs/sh/t2/L81_892871_780447.jpg /imgs/sh/t3/L81_892871_780447.jpg /labels/sh/t2VSt3/L81_892871_780447.png /building_labels/sh/t2/L81_892871_780447.png /building_labels/sh/t3/L81_892871_780447.png /offset_st_resize256/sh/t2/L81_892871_780447.tif /offset_st_resize256/sh/t3/L81_892871_780447.tif /flow_btv3_resize256/sh/t2VSt3/L81_892871_780447.tif
train,/imgs/bj/t1/L81_00959_783935.jpg /imgs/bj/t3/L81_00959_783935.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00959_783935.png /building_labels/bj/t1/L81_00959_783935.png /building_labels/bj/t3/L81_00959_783935.png /offset_st_resize256/bj/t1/L81_00959_783935.tif /offset_st_resize256/bj/t3/L81_00959_783935.tif /flow_btv3_resize256/bj/t1VSt3/L81_00959_783935.tif
train,/imgs/bj/t1/L81_00839_784191.jpg /imgs/bj/t3/L81_00839_784191.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00839_784191.png /building_labels/bj/t1/L81_00839_784191.png /building_labels/bj/t3/L81_00839_784191.png /offset_st_resize256/bj/t1/L81_00839_784191.tif /offset_st_resize256/bj/t3/L81_00839_784191.tif /flow_btv3_resize256/bj/t1VSt3/L81_00839_784191.tif
val,/imgs/bj/t1/L81_00679_784071.jpg /imgs/bj/t3/L81_00679_784071.jpg /labels/bj/t1VSt3/L81_00679_784071.png /building_labels/bj/t1/L81_00679_784071.png /building_labels/bj/t3/L81_00679_784071.png /offset_st_resize256/bj/t1/L81_00679_784071.tif /offset_st_resize256/bj/t3/L81_00679_784071.tif /flow_btv3_resize256/bj/t1VSt3/L81_00679_784071.tif
train,/imgs/sh/t1/L81_892871_780487.jpg /imgs/sh/t2/L81_892871_780487.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892871_780487.png /building_labels/sh/t1/L81_892871_780487.png /building_labels/sh/t2/L81_892871_780487.png /offset_st_resize256/sh/t1/L81_892871_780487.tif /offset_st_resize256/sh/t2/L81_892871_780487.tif /flow_btv3_resize256/sh/t1VSt2/L81_892871_780487.tif
train,/imgs/sh/t1/L81_892911_780423.jpg /imgs/sh/t3/L81_892911_780423.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892911_780423.png /building_labels/sh/t1/L81_892911_780423.png /building_labels/sh/t3/L81_892911_780423.png /offset_st_resize256/sh/t1/L81_892911_780423.tif /offset_st_resize256/sh/t3/L81_892911_780423.tif /flow_btv3_resize256/sh/t1VSt3/L81_892911_780423.tif
train,/imgs/sh/t1/L81_892799_780479.jpg /imgs/sh/t3/L81_892799_780479.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892799_780479.png /building_labels/sh/t1/L81_892799_780479.png /building_labels/sh/t3/L81_892799_780479.png /offset_st_resize256/sh/t1/L81_892799_780479.tif /offset_st_resize256/sh/t3/L81_892799_780479.tif /flow_btv3_resize256/sh/t1VSt3/L81_892799_780479.tif
train,/imgs/sh/t1/L81_892791_780423.jpg /imgs/sh/t2/L81_892791_780423.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892791_780423.png /building_labels/sh/t1/L81_892791_780423.png /building_labels/sh/t2/L81_892791_780423.png /offset_st_resize256/sh/t1/L81_892791_780423.tif /offset_st_resize256/sh/t2/L81_892791_780423.tif /flow_btv3_resize256/sh/t1VSt2/L81_892791_780423.tif
test,/imgs/sh/t1/L81_892855_780503.jpg /imgs/sh/t3/L81_892855_780503.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892855_780503.png /building_labels/sh/t1/L81_892855_780503.png /building_labels/sh/t3/L81_892855_780503.png
train,/imgs/sh/t1/L81_892895_780519.jpg /imgs/sh/t3/L81_892895_780519.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892895_780519.png /building_labels/sh/t1/L81_892895_780519.png /building_labels/sh/t3/L81_892895_780519.png /offset_st_resize256/sh/t1/L81_892895_780519.tif /offset_st_resize256/sh/t3/L81_892895_780519.tif /flow_btv3_resize256/sh/t1VSt3/L81_892895_780519.tif
train,/imgs/bj/t1/L81_00639_784223.jpg /imgs/bj/t3/L81_00639_784223.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00639_784223.png /building_labels/bj/t1/L81_00639_784223.png /building_labels/bj/t3/L81_00639_784223.png /offset_st_resize256/bj/t1/L81_00639_784223.tif /offset_st_resize256/bj/t3/L81_00639_784223.tif /flow_btv3_resize256/bj/t1VSt3/L81_00639_784223.tif
train,/imgs/bj/t1/L81_00663_783975.jpg /imgs/bj/t2/L81_00663_783975.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00663_783975.png /building_labels/bj/t1/L81_00663_783975.png /building_labels/bj/t2/L81_00663_783975.png /offset_st_resize256/bj/t1/L81_00663_783975.tif /offset_st_resize256/bj/t2/L81_00663_783975.tif /flow_btv3_resize256/bj/t1VSt2/L81_00663_783975.tif
train,/imgs/bj/t2/L81_00831_784287.jpg /imgs/bj/t3/L81_00831_784287.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784287.png /building_labels/bj/t2/L81_00831_784287.png /building_labels/bj/t3/L81_00831_784287.png /offset_st_resize256/bj/t2/L81_00831_784287.tif /offset_st_resize256/bj/t3/L81_00831_784287.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784287.tif
train,/imgs/sh/t1/L81_892863_780439.jpg /imgs/sh/t3/L81_892863_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892863_780439.png /building_labels/sh/t1/L81_892863_780439.png /building_labels/sh/t3/L81_892863_780439.png /offset_st_resize256/sh/t1/L81_892863_780439.tif /offset_st_resize256/sh/t3/L81_892863_780439.tif /flow_btv3_resize256/sh/t1VSt3/L81_892863_780439.tif
train,/imgs/sh/t1/L81_892919_780439.jpg /imgs/sh/t2/L81_892919_780439.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892919_780439.png /building_labels/sh/t1/L81_892919_780439.png /building_labels/sh/t2/L81_892919_780439.png /offset_st_resize256/sh/t1/L81_892919_780439.tif /offset_st_resize256/sh/t2/L81_892919_780439.tif /flow_btv3_resize256/sh/t1VSt2/L81_892919_780439.tif
train,/imgs/bj/t1/L81_00639_784143.jpg /imgs/bj/t2/L81_00639_784143.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00639_784143.png /building_labels/bj/t1/L81_00639_784143.png /building_labels/bj/t2/L81_00639_784143.png /offset_st_resize256/bj/t1/L81_00639_784143.tif /offset_st_resize256/bj/t2/L81_00639_784143.tif /flow_btv3_resize256/bj/t1VSt2/L81_00639_784143.tif
train,/imgs/bj/t2/L81_00639_784063.jpg /imgs/bj/t3/L81_00639_784063.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00639_784063.png /building_labels/bj/t2/L81_00639_784063.png /building_labels/bj/t3/L81_00639_784063.png /offset_st_resize256/bj/t2/L81_00639_784063.tif /offset_st_resize256/bj/t3/L81_00639_784063.tif /flow_btv3_resize256/bj/t2VSt3/L81_00639_784063.tif
train,/imgs/sh/t1/L81_892823_780527.jpg /imgs/sh/t2/L81_892823_780527.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892823_780527.png /building_labels/sh/t1/L81_892823_780527.png /building_labels/sh/t2/L81_892823_780527.png /offset_st_resize256/sh/t1/L81_892823_780527.tif /offset_st_resize256/sh/t2/L81_892823_780527.tif /flow_btv3_resize256/sh/t1VSt2/L81_892823_780527.tif
val,/imgs/bj/t1/L81_00663_784311.jpg /imgs/bj/t2/L81_00663_784311.jpg /labels/bj/t1VSt2/L81_00663_784311.png /building_labels/bj/t1/L81_00663_784311.png /building_labels/bj/t2/L81_00663_784311.png /offset_st_resize256/bj/t1/L81_00663_784311.tif /offset_st_resize256/bj/t2/L81_00663_784311.tif /flow_btv3_resize256/bj/t1VSt2/L81_00663_784311.tif
train,/imgs/sh/t1/L81_892799_780511.jpg /imgs/sh/t3/L81_892799_780511.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892799_780511.png /building_labels/sh/t1/L81_892799_780511.png /building_labels/sh/t3/L81_892799_780511.png /offset_st_resize256/sh/t1/L81_892799_780511.tif /offset_st_resize256/sh/t3/L81_892799_780511.tif /flow_btv3_resize256/sh/t1VSt3/L81_892799_780511.tif
train,/imgs/bj/t1/L81_00831_784247.jpg /imgs/bj/t2/L81_00831_784247.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00831_784247.png /building_labels/bj/t1/L81_00831_784247.png /building_labels/bj/t2/L81_00831_784247.png /offset_st_resize256/bj/t1/L81_00831_784247.tif /offset_st_resize256/bj/t2/L81_00831_784247.tif /flow_btv3_resize256/bj/t1VSt2/L81_00831_784247.tif
train,/imgs/bj/t1/L81_00839_784279.jpg /imgs/bj/t2/L81_00839_784279.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00839_784279.png /building_labels/bj/t1/L81_00839_784279.png /building_labels/bj/t2/L81_00839_784279.png /offset_st_resize256/bj/t1/L81_00839_784279.tif /offset_st_resize256/bj/t2/L81_00839_784279.tif /flow_btv3_resize256/bj/t1VSt2/L81_00839_784279.tif
train,/imgs/sh/t2/L81_892807_780447.jpg /imgs/sh/t3/L81_892807_780447.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892807_780447.png /building_labels/sh/t2/L81_892807_780447.png /building_labels/sh/t3/L81_892807_780447.png /offset_st_resize256/sh/t2/L81_892807_780447.tif /offset_st_resize256/sh/t3/L81_892807_780447.tif /flow_btv3_resize256/sh/t2VSt3/L81_892807_780447.tif
train,/imgs/bj/t1/L81_00671_784007.jpg /imgs/bj/t2/L81_00671_784007.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00671_784007.png /building_labels/bj/t1/L81_00671_784007.png /building_labels/bj/t2/L81_00671_784007.png /offset_st_resize256/bj/t1/L81_00671_784007.tif /offset_st_resize256/bj/t2/L81_00671_784007.tif /flow_btv3_resize256/bj/t1VSt2/L81_00671_784007.tif
test,/imgs/bj/t2/L81_00671_784207.jpg /imgs/bj/t3/L81_00671_784207.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_784207.png /building_labels/bj/t2/L81_00671_784207.png /building_labels/bj/t3/L81_00671_784207.png
val,/imgs/sh/t2/L81_892831_780447.jpg /imgs/sh/t3/L81_892831_780447.jpg /labels/sh/t2VSt3/L81_892831_780447.png /building_labels/sh/t2/L81_892831_780447.png /building_labels/sh/t3/L81_892831_780447.png /offset_st_resize256/sh/t2/L81_892831_780447.tif /offset_st_resize256/sh/t3/L81_892831_780447.tif /flow_btv3_resize256/sh/t2VSt3/L81_892831_780447.tif
train,/imgs/sh/t2/L81_892911_780479.jpg /imgs/sh/t3/L81_892911_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892911_780479.png /building_labels/sh/t2/L81_892911_780479.png /building_labels/sh/t3/L81_892911_780479.png /offset_st_resize256/sh/t2/L81_892911_780479.tif /offset_st_resize256/sh/t3/L81_892911_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892911_780479.tif
val,/imgs/sh/t1/L81_892863_780423.jpg /imgs/sh/t2/L81_892863_780423.jpg /labels/sh/t1VSt2/L81_892863_780423.png /building_labels/sh/t1/L81_892863_780423.png /building_labels/sh/t2/L81_892863_780423.png /offset_st_resize256/sh/t1/L81_892863_780423.tif /offset_st_resize256/sh/t2/L81_892863_780423.tif /flow_btv3_resize256/sh/t1VSt2/L81_892863_780423.tif
train,/imgs/sh/t1/L81_892927_780439.jpg /imgs/sh/t3/L81_892927_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892927_780439.png /building_labels/sh/t1/L81_892927_780439.png /building_labels/sh/t3/L81_892927_780439.png /offset_st_resize256/sh/t1/L81_892927_780439.tif /offset_st_resize256/sh/t3/L81_892927_780439.tif /flow_btv3_resize256/sh/t1VSt3/L81_892927_780439.tif
train,/imgs/bj/t1/L81_00879_783999.jpg /imgs/bj/t2/L81_00879_783999.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00879_783999.png /building_labels/bj/t1/L81_00879_783999.png /building_labels/bj/t2/L81_00879_783999.png /offset_st_resize256/bj/t1/L81_00879_783999.tif /offset_st_resize256/bj/t2/L81_00879_783999.tif /flow_btv3_resize256/bj/t1VSt2/L81_00879_783999.tif
train,/imgs/bj/t2/L81_00655_783967.jpg /imgs/bj/t3/L81_00655_783967.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00655_783967.png /building_labels/bj/t2/L81_00655_783967.png /building_labels/bj/t3/L81_00655_783967.png /offset_st_resize256/bj/t2/L81_00655_783967.tif /offset_st_resize256/bj/t3/L81_00655_783967.tif /flow_btv3_resize256/bj/t2VSt3/L81_00655_783967.tif
train,/imgs/bj/t1/L81_00823_784143.jpg /imgs/bj/t3/L81_00823_784143.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00823_784143.png /building_labels/bj/t1/L81_00823_784143.png /building_labels/bj/t3/L81_00823_784143.png /offset_st_resize256/bj/t1/L81_00823_784143.tif /offset_st_resize256/bj/t3/L81_00823_784143.tif /flow_btv3_resize256/bj/t1VSt3/L81_00823_784143.tif
train,/imgs/sh/t1/L81_892903_780527.jpg /imgs/sh/t2/L81_892903_780527.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892903_780527.png /building_labels/sh/t1/L81_892903_780527.png /building_labels/sh/t2/L81_892903_780527.png /offset_st_resize256/sh/t1/L81_892903_780527.tif /offset_st_resize256/sh/t2/L81_892903_780527.tif /flow_btv3_resize256/sh/t1VSt2/L81_892903_780527.tif
train,/imgs/bj/t2/L81_00647_784311.jpg /imgs/bj/t3/L81_00647_784311.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00647_784311.png /building_labels/bj/t2/L81_00647_784311.png /building_labels/bj/t3/L81_00647_784311.png /offset_st_resize256/bj/t2/L81_00647_784311.tif /offset_st_resize256/bj/t3/L81_00647_784311.tif /flow_btv3_resize256/bj/t2VSt3/L81_00647_784311.tif
train,/imgs/bj/t1/L81_00647_784279.jpg /imgs/bj/t3/L81_00647_784279.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00647_784279.png /building_labels/bj/t1/L81_00647_784279.png /building_labels/bj/t3/L81_00647_784279.png /offset_st_resize256/bj/t1/L81_00647_784279.tif /offset_st_resize256/bj/t3/L81_00647_784279.tif /flow_btv3_resize256/bj/t1VSt3/L81_00647_784279.tif
train,/imgs/bj/t2/L81_00655_783975.jpg /imgs/bj/t3/L81_00655_783975.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00655_783975.png /building_labels/bj/t2/L81_00655_783975.png /building_labels/bj/t3/L81_00655_783975.png /offset_st_resize256/bj/t2/L81_00655_783975.tif /offset_st_resize256/bj/t3/L81_00655_783975.tif /flow_btv3_resize256/bj/t2VSt3/L81_00655_783975.tif
train,/imgs/bj/t1/L81_00863_784159.jpg /imgs/bj/t2/L81_00863_784159.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00863_784159.png /building_labels/bj/t1/L81_00863_784159.png /building_labels/bj/t2/L81_00863_784159.png /offset_st_resize256/bj/t1/L81_00863_784159.tif /offset_st_resize256/bj/t2/L81_00863_784159.tif /flow_btv3_resize256/bj/t1VSt2/L81_00863_784159.tif
train,/imgs/sh/t1/L81_892855_780455.jpg /imgs/sh/t3/L81_892855_780455.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892855_780455.png /building_labels/sh/t1/L81_892855_780455.png /building_labels/sh/t3/L81_892855_780455.png /offset_st_resize256/sh/t1/L81_892855_780455.tif /offset_st_resize256/sh/t3/L81_892855_780455.tif /flow_btv3_resize256/sh/t1VSt3/L81_892855_780455.tif
train,/imgs/bj/t1/L81_00815_784343.jpg /imgs/bj/t3/L81_00815_784343.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00815_784343.png /building_labels/bj/t1/L81_00815_784343.png /building_labels/bj/t3/L81_00815_784343.png /offset_st_resize256/bj/t1/L81_00815_784343.tif /offset_st_resize256/bj/t3/L81_00815_784343.tif /flow_btv3_resize256/bj/t1VSt3/L81_00815_784343.tif
test,/imgs/sh/t2/L81_892887_780527.jpg /imgs/sh/t3/L81_892887_780527.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892887_780527.png /building_labels/sh/t2/L81_892887_780527.png /building_labels/sh/t3/L81_892887_780527.png
test,/imgs/bj/t1/L81_00655_784311.jpg /imgs/bj/t3/L81_00655_784311.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00655_784311.png /building_labels/bj/t1/L81_00655_784311.png /building_labels/bj/t3/L81_00655_784311.png
train,/imgs/bj/t2/L81_00847_784103.jpg /imgs/bj/t3/L81_00847_784103.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00847_784103.png /building_labels/bj/t2/L81_00847_784103.png /building_labels/bj/t3/L81_00847_784103.png /offset_st_resize256/bj/t2/L81_00847_784103.tif /offset_st_resize256/bj/t3/L81_00847_784103.tif /flow_btv3_resize256/bj/t2VSt3/L81_00847_784103.tif
train,/imgs/bj/t2/L81_00687_784143.jpg /imgs/bj/t3/L81_00687_784143.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00687_784143.png /building_labels/bj/t2/L81_00687_784143.png /building_labels/bj/t3/L81_00687_784143.png /offset_st_resize256/bj/t2/L81_00687_784143.tif /offset_st_resize256/bj/t3/L81_00687_784143.tif /flow_btv3_resize256/bj/t2VSt3/L81_00687_784143.tif
train,/imgs/sh/t1/L81_892879_780447.jpg /imgs/sh/t2/L81_892879_780447.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892879_780447.png /building_labels/sh/t1/L81_892879_780447.png /building_labels/sh/t2/L81_892879_780447.png /offset_st_resize256/sh/t1/L81_892879_780447.tif /offset_st_resize256/sh/t2/L81_892879_780447.tif /flow_btv3_resize256/sh/t1VSt2/L81_892879_780447.tif
train,/imgs/sh/t2/L81_892847_780479.jpg /imgs/sh/t3/L81_892847_780479.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892847_780479.png /building_labels/sh/t2/L81_892847_780479.png /building_labels/sh/t3/L81_892847_780479.png /offset_st_resize256/sh/t2/L81_892847_780479.tif /offset_st_resize256/sh/t3/L81_892847_780479.tif /flow_btv3_resize256/sh/t2VSt3/L81_892847_780479.tif
train,/imgs/bj/t2/L81_00711_784071.jpg /imgs/bj/t3/L81_00711_784071.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00711_784071.png /building_labels/bj/t2/L81_00711_784071.png /building_labels/bj/t3/L81_00711_784071.png /offset_st_resize256/bj/t2/L81_00711_784071.tif /offset_st_resize256/bj/t3/L81_00711_784071.tif /flow_btv3_resize256/bj/t2VSt3/L81_00711_784071.tif
test,/imgs/bj/t1/L81_00639_784071.jpg /imgs/bj/t3/L81_00639_784071.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00639_784071.png /building_labels/bj/t1/L81_00639_784071.png /building_labels/bj/t3/L81_00639_784071.png
train,/imgs/bj/t2/L81_00663_784303.jpg /imgs/bj/t3/L81_00663_784303.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00663_784303.png /building_labels/bj/t2/L81_00663_784303.png /building_labels/bj/t3/L81_00663_784303.png /offset_st_resize256/bj/t2/L81_00663_784303.tif /offset_st_resize256/bj/t3/L81_00663_784303.tif /flow_btv3_resize256/bj/t2VSt3/L81_00663_784303.tif
val,/imgs/bj/t2/L81_00879_784159.jpg /imgs/bj/t3/L81_00879_784159.jpg /labels/bj/t2VSt3/L81_00879_784159.png /building_labels/bj/t2/L81_00879_784159.png /building_labels/bj/t3/L81_00879_784159.png /offset_st_resize256/bj/t2/L81_00879_784159.tif /offset_st_resize256/bj/t3/L81_00879_784159.tif /flow_btv3_resize256/bj/t2VSt3/L81_00879_784159.tif
train,/imgs/bj/t1/L81_00711_784103.jpg /imgs/bj/t3/L81_00711_784103.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00711_784103.png /building_labels/bj/t1/L81_00711_784103.png /building_labels/bj/t3/L81_00711_784103.png /offset_st_resize256/bj/t1/L81_00711_784103.tif /offset_st_resize256/bj/t3/L81_00711_784103.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784103.tif
